t_s,depth_m,roll_deg,pitch_deg,yaw_deg,north_m,east_m,down_m,vx,vy,vz,batt_v,batt_a,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8
0.001,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,
0.2,0.131,0.13,0.11,66.92,14.488,7.258,-0.039,-0.028,-0.012,-0.042,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.3,0.133,0.13,0.11,66.92,14.488,7.258,-0.037,-0.029,-0.012,-0.039,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.4,0.142,0.13,0.11,66.92,14.488,7.258,-0.028,-0.029,-0.012,-0.03,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.5,0.145,0.13,0.11,66.92,14.488,7.258,-0.025,-0.029,-0.012,-0.028,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.6,0.153,0.13,0.11,66.92,14.488,7.258,-0.017,-0.029,-0.012,-0.021,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.7,0.17,0.13,0.11,66.92,14.488,7.258,0.0,-0.029,-0.012,-0.008,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.8,0.188,0.13,0.11,66.92,14.488,7.258,0.018,-0.029,-0.012,0.004,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.9,0.198,0.13,0.11,66.92,14.488,7.258,0.028,-0.029,-0.012,0.009,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.0,0.197,0.13,0.11,66.92,14.488,7.258,0.027,-0.029,-0.012,0.005,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.1,0.189,0.13,0.11,66.92,14.488,7.258,0.019,-0.029,-0.012,-0.004,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.2,0.182,0.13,0.11,66.92,14.488,7.258,0.012,-0.029,-0.012,-0.009,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.3,0.171,0.13,0.11,66.92,14.488,7.258,0.001,-0.029,-0.012,-0.017,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.4,0.172,0.13,0.11,66.92,14.488,7.258,0.002,-0.029,-0.012,-0.014,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.5,0.17,0.13,0.11,66.92,14.488,7.258,0.0,-0.029,-0.012,-0.015,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.6,0.176,0.13,0.11,66.92,14.488,7.258,0.006,-0.029,-0.012,-0.009,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.7,0.184,0.13,0.11,66.92,14.488,7.258,0.014,-0.029,-0.012,-0.003,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.8,0.195,0.13,0.11,66.92,14.488,7.258,0.025,-0.029,-0.012,0.005,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.9,0.199,0.13,0.11,66.92,14.488,7.258,0.029,-0.029,-0.012,0.006,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.0,0.205,0.13,0.11,66.92,14.488,7.258,0.035,-0.029,-0.012,0.009,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.1,0.211,0.13,0.11,66.92,14.488,7.258,0.041,-0.029,-0.012,0.012,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.2,0.222,0.13,0.11,66.92,14.488,7.258,0.052,-0.029,-0.012,0.019,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
