t_s,depth_m,roll_deg,pitch_deg,yaw_deg,north_m,east_m,down_m,vx,vy,vz,batt_v,batt_a,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8
0.001,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,
0.2,0.328,0.17,0.15,1.26,0.604,40.821,0.058,-0.02,0.418,0.016,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.3,0.339,0.16,0.14,1.26,0.604,40.861,0.069,-0.021,0.418,0.023,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.4,0.343,0.15,0.13,1.26,0.605,40.9,0.073,-0.02,0.418,0.023,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.5,0.346,0.14,0.12,1.26,0.605,40.94,0.076,-0.02,0.418,0.024,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.6,0.356,0.13,0.11,1.26,0.607,40.979,0.086,-0.02,0.418,0.029,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.7,0.362,0.11,0.1,1.26,0.607,41.019,0.092,-0.019,0.418,0.031,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.8,0.357,0.1,0.08,1.27,0.61,41.058,0.087,-0.019,0.418,0.024,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.9,0.343,0.09,0.08,1.27,0.61,41.098,0.073,-0.019,0.418,0.012,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.0,0.327,0.09,0.07,1.27,0.613,41.138,0.057,-0.018,0.418,-0.001,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.1,0.319,0.08,0.06,1.27,0.613,41.179,0.049,-0.018,0.418,-0.005,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.2,0.32,0.08,0.06,1.27,0.615,41.218,0.05,-0.017,0.418,0.001,12.46,4.05,1499,1500,1500,1499,1568,1569,1567,1568
1.3,0.32,0.07,0.05,1.27,0.616,41.258,0.05,-0.017,0.419,0.021,12.42,5.37,1499,1500,1500,1499,1588,1589,1587,1588
1.4,0.326,0.06,0.04,1.27,0.618,41.297,0.056,-0.016,0.418,0.044,12.43,5.06,1499,1500,1500,1499,1583,1584,1582,1583
1.5,0.34,0.04,0.03,1.28,0.619,41.337,0.07,-0.016,0.418,0.067,12.45,4.47,1499,1500,1500,1499,1573,1574,1572,1573
1.6,0.356,0.02,0.02,1.28,0.62,41.376,0.086,-0.016,0.418,0.083,12.48,3.54,1499,1500,1500,1499,1557,1558,1557,1557
1.7,0.369,0.01,0.01,1.28,0.621,41.416,0.099,-0.016,0.418,0.09,12.51,2.61,1499,1500,1500,1499,1542,1542,1541,1542
1.8,0.377,0.0,0.01,1.28,0.623,41.455,0.107,-0.015,0.418,0.089,12.54,1.86,1499,1500,1500,1499,1529,1530,1529,1529
1.9,0.388,0.0,0.01,1.28,0.623,41.495,0.118,-0.015,0.418,0.089,12.55,1.35,1499,1500,1500,1499,1521,1522,1521,1521
2.0,0.403,0.01,0.01,1.28,0.624,41.534,0.133,-0.015,0.418,0.091,12.57,0.75,1499,1500,1500,1499,1511,1512,1510,1511
2.1,0.417,0.03,0.03,1.28,0.625,41.574,0.147,-0.015,0.418,0.091,12.59,0.21,1499,1500,1500,1499,1497,1498,1496,1497
2.2,0.43,0.05,0.04,1.29,0.626,41.613,0.16,-0.015,0.417,0.091,12.56,1.02,1499,1500,1500,1499,1483,1485,1482,1483
2.3,0.446,0.07,0.06,1.29,0.626,41.653,0.176,-0.015,0.417,0.093,12.54,1.8,1499,1500,1500,1499,1470,1472,1468,1470
