t_s,depth_m,roll_deg,pitch_deg,yaw_deg,north_m,east_m,down_m,vx,vy,vz,batt_v,batt_a,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8
0.002,,,,,,,,,,,,,,,,,,,,
0.1,,,,,-0.023,11.065,0.119,-0.024,0.022,0.035,,,,,,,,,,
0.2,0.392,0.08,0.07,1.41,-0.022,11.064,0.122,-0.023,0.021,0.035,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.3,0.381,0.08,0.07,1.41,-0.022,11.065,0.111,-0.024,0.021,0.024,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.4,0.363,0.08,0.07,1.41,-0.022,11.064,0.093,-0.023,0.021,0.007,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.5,0.338,0.08,0.07,1.41,-0.022,11.064,0.068,-0.023,0.021,-0.013,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.6,0.315,0.08,0.07,1.41,-0.022,11.064,0.045,-0.023,0.021,-0.029,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.7,0.305,0.08,0.07,1.41,-0.022,11.064,0.035,-0.023,0.021,-0.032,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.8,0.302,0.08,0.07,1.41,-0.022,11.064,0.032,-0.023,0.021,-0.031,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.9,0.305,0.08,0.07,1.41,-0.022,11.064,0.035,-0.023,0.021,-0.025,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.0,0.3,0.08,0.07,1.41,-0.022,11.064,0.03,-0.023,0.021,-0.027,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.1,0.297,0.08,0.07,1.41,-0.022,11.064,0.027,-0.024,0.021,-0.028,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.2,0.292,0.08,0.07,1.41,-0.022,11.064,0.022,-0.023,0.021,-0.03,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
