t_s,depth_m,roll_deg,pitch_deg,yaw_deg,north_m,east_m,down_m,vx,vy,vz,batt_v,batt_a,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8
0.0,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,
0.2,0.304,0.07,0.06,1.6,-0.018,0.016,0.034,-0.02,0.018,-0.0,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.3,0.308,0.07,0.06,1.6,-0.018,0.017,0.038,-0.02,0.019,0.002,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.4,0.319,0.07,0.06,1.59,-0.018,0.017,0.049,-0.02,0.019,0.01,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.5,0.339,0.07,0.06,1.59,-0.018,0.017,0.069,-0.02,0.019,0.025,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.6,0.35,0.07,0.06,1.59,-0.018,0.017,0.08,-0.02,0.019,0.03,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.7,0.35,0.07,0.06,1.59,-0.018,0.017,0.08,-0.02,0.019,0.027,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.8,0.353,0.07,0.06,1.59,-0.018,0.017,0.083,-0.02,0.019,0.026,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.9,0.365,0.07,0.06,1.58,-0.019,0.017,0.095,-0.02,0.019,0.034,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.0,0.375,0.07,0.06,1.58,-0.018,0.017,0.105,-0.02,0.018,0.039,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.1,0.382,0.07,0.06,1.58,-0.018,0.017,0.112,-0.02,0.018,0.042,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.2,0.378,0.07,0.06,1.58,-0.018,0.017,0.108,-0.019,0.017,0.034,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.3,0.373,0.07,0.06,1.58,-0.018,0.017,0.103,-0.018,0.017,0.027,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.4,0.362,0.07,0.06,1.57,-0.017,0.016,0.092,-0.017,0.016,0.016,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.5,0.356,0.07,0.06,1.57,-0.017,0.016,0.086,-0.016,0.015,0.012,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.6,0.356,0.07,0.06,1.57,-0.016,0.015,0.086,-0.014,0.013,0.013,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.7,0.352,0.07,0.06,1.57,-0.016,0.015,0.082,-0.013,0.012,0.008,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.8,0.346,0.07,0.06,1.57,-0.015,0.014,0.076,-0.011,0.01,0.004,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.9,0.337,0.08,0.06,1.57,-0.014,0.013,0.067,-0.01,0.009,-0.003,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.0,0.332,0.08,0.06,1.56,-0.013,0.012,0.062,-0.008,0.007,-0.006,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.1,0.324,0.08,0.06,1.56,-0.012,0.011,0.054,-0.007,0.006,-0.012,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.2,0.315,0.08,0.07,1.56,-0.01,0.01,0.045,-0.005,0.005,-0.018,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.3,0.302,0.08,0.07,1.56,-0.009,0.009,0.032,-0.004,0.004,-0.027,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.4,0.297,0.08,0.07,1.56,-0.008,0.007,0.027,-0.002,0.002,-0.027,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.5,0.292,0.08,0.07,1.55,-0.007,0.007,0.022,-0.001,0.001,-0.028,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.6,0.291,0.08,0.07,1.55,-0.006,0.005,0.021,-0.0,0.0,-0.027,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.7,0.292,0.09,0.07,1.55,-0.005,0.005,0.022,0.0,-0.0,-0.024,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
