t_s,depth_m,roll_deg,pitch_deg,yaw_deg,north_m,east_m,down_m,vx,vy,vz,batt_v,batt_a,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8
0.002,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,
0.2,0.395,0.02,0.12,145.61,-0.957,2.14,0.125,0.003,-0.032,0.04,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.3,0.401,0.02,0.12,145.62,-0.958,2.14,0.131,0.003,-0.032,0.041,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.4,0.409,0.02,0.12,145.62,-0.958,2.14,0.139,0.002,-0.032,0.044,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.5,0.409,0.02,0.12,145.62,-0.959,2.14,0.139,0.002,-0.032,0.04,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.6,0.397,0.01,0.11,145.63,-0.96,2.14,0.127,0.002,-0.032,0.026,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.7,0.374,0.01,0.11,145.63,-0.961,2.139,0.104,0.002,-0.032,0.005,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.8,0.356,0.01,0.11,145.64,-0.961,2.14,0.086,0.002,-0.031,-0.009,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.9,0.332,0.01,0.11,145.64,-0.962,2.139,0.062,0.001,-0.031,-0.027,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.0,0.302,0.0,0.11,145.65,-0.963,2.14,0.032,0.001,-0.029,-0.047,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.1,0.284,0.0,0.11,145.65,-0.963,2.14,0.014,0.001,-0.029,-0.056,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.2,0.278,0.01,0.11,145.65,-0.964,2.141,0.008,0.001,-0.027,-0.055,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.3,0.284,0.01,0.11,145.65,-0.964,2.141,0.014,0.001,-0.026,-0.044,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.4,0.282,0.01,0.11,145.66,-0.965,2.142,0.012,0.001,-0.024,-0.042,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.5,0.286,0.01,0.11,145.66,-0.965,2.143,0.016,0.001,-0.023,-0.036,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.6,0.297,0.01,0.11,145.66,-0.966,2.144,0.027,0.0,-0.021,-0.026,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.7,0.301,0.02,0.12,145.67,-0.966,2.145,0.031,0.0,-0.019,-0.022,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.8,0.309,0.02,0.12,145.67,-0.967,2.147,0.039,-0.0,-0.017,-0.016,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.9,0.324,0.02,0.12,145.67,-0.967,2.148,0.054,-0.0,-0.015,-0.004,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.0,0.336,0.02,0.12,145.68,-0.967,2.15,0.066,-0.0,-0.012,0.004,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.1,0.348,0.02,0.12,145.68,-0.968,2.152,0.078,-0.001,-0.01,0.012,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.2,0.35,0.02,0.12,145.68,-0.968,2.154,0.08,-0.001,-0.008,0.01,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.3,0.341,0.02,0.12,145.69,-0.969,2.155,0.071,-0.001,-0.006,-0.0,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.4,0.335,0.02,0.12,145.69,-0.969,2.157,0.065,-0.002,-0.004,-0.006,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.5,0.335,0.02,0.12,145.69,-0.969,2.158,0.065,-0.002,-0.002,-0.005,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.6,0.34,0.03,0.13,145.7,-0.97,2.16,0.07,-0.002,-0.001,-0.0,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.7,0.345,0.03,0.13,145.7,-0.97,2.162,0.075,-0.002,0.0,0.003,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.8,0.345,0.03,0.13,145.7,-0.97,2.163,0.075,-0.002,0.002,0.003,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
2.9,0.351,0.03,0.13,145.71,-0.97,2.164,0.081,-0.002,0.002,0.007,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
3.0,0.347,0.03,0.13,145.71,-0.971,2.166,0.077,-0.002,0.003,0.002,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
3.1,0.334,0.03,0.13,145.71,-0.971,2.167,0.064,-0.002,0.004,-0.009,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
3.2,0.318,0.03,0.14,145.72,-0.971,2.168,0.048,-0.002,0.005,-0.005,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
3.3,0.312,0.03,0.14,145.72,-0.971,2.169,0.042,-0.002,0.005,0.095,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
3.4,0.324,0.04,0.14,145.72,-0.972,2.17,0.054,-0.003,0.006,0.192,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
3.5,0.358,0.04,0.14,145.73,-0.972,2.17,0.088,-0.002,0.006,0.28,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
3.6,0.394,0.04,0.14,145.73,-0.972,2.171,0.124,-0.003,0.006,0.341,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
3.7,0.429,0.04,0.14,145.73,-0.973,2.171,0.159,-0.003,0.006,0.381,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
3.8,0.46,0.04,0.15,145.74,-0.974,2.172,0.19,-0.004,0.006,0.4,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
3.9,0.492,0.04,0.15,145.74,-0.975,2.172,0.222,-0.004,0.005,0.41,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
4.0,0.522,0.05,0.15,145.74,-0.976,2.173,0.252,-0.004,0.005,0.412,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
4.1,0.555,0.05,0.15,145.74,-0.977,2.173,0.285,-0.004,0.005,0.413,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
4.2,0.555,0.05,0.15,145.74,-0.977,2.173,0.285,-0.004,0.005,0.413,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
4.3,0.555,0.05,0.15,145.74,-0.977,2.173,0.285,-0.004,0.005,0.413,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
4.4,0.555,0.06,0.16,145.75,-0.979,2.173,0.431,-0.004,0.003,0.434,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
4.5,0.555,0.06,0.16,145.75,-0.979,2.173,0.431,-0.004,0.003,0.434,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
4.6,0.881,0.07,0.16,145.76,-0.98,2.172,0.611,-0.004,0.001,0.487,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
4.7,0.881,0.07,0.16,145.76,-0.98,2.172,0.611,-0.004,0.001,0.487,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
4.8,0.881,0.07,0.16,145.76,-0.98,2.172,0.611,-0.004,0.001,0.487,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
4.9,1.062,0.07,0.17,144.64,-0.981,2.171,0.792,-0.004,-0.002,0.526,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
5.0,1.062,0.07,0.17,144.64,-0.981,2.171,0.792,-0.004,-0.002,0.526,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
5.1,1.241,0.08,0.17,144.63,-0.982,2.17,0.971,-0.003,-0.004,0.556,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
5.2,1.241,0.08,0.17,144.63,-0.982,2.17,0.971,-0.003,-0.004,0.556,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
5.3,1.241,0.08,0.17,144.63,-0.982,2.17,0.971,-0.003,-0.004,0.556,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
5.4,1.354,0.09,0.18,144.63,-0.982,2.169,1.084,-0.003,-0.006,0.533,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
5.5,1.354,0.09,0.18,144.63,-0.982,2.169,1.084,-0.003,-0.006,0.533,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
5.6,1.463,0.09,0.18,144.62,-0.982,2.168,1.193,-0.002,-0.009,0.52,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
5.7,1.463,0.09,0.18,144.62,-0.982,2.168,1.193,-0.002,-0.009,0.52,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
5.8,1.463,0.09,0.18,144.62,-0.982,2.168,1.193,-0.002,-0.009,0.52,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
5.9,1.571,0.1,0.19,144.62,-0.983,2.166,1.301,-0.002,-0.011,0.507,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
6.0,1.571,0.1,0.19,144.62,-0.983,2.166,1.301,-0.002,-0.011,0.507,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
6.1,1.665,0.1,0.19,144.88,-0.983,2.165,1.395,-0.002,-0.013,0.486,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
6.2,1.665,0.1,0.19,144.88,-0.983,2.165,1.395,-0.002,-0.013,0.486,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
6.3,1.665,0.1,0.19,144.88,-0.983,2.165,1.395,-0.002,-0.013,0.486,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
6.4,1.752,0.11,0.2,144.95,-0.983,2.163,1.482,-0.001,-0.015,0.466,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
6.5,1.752,0.11,0.2,144.95,-0.983,2.163,1.482,-0.001,-0.015,0.466,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
6.6,1.876,0.11,0.2,144.96,-0.982,2.161,1.606,-0.0,-0.017,0.474,12.2,12.0,1500,1500,1500,1500,1700,1700,1700,1700
