i,commanded,observed,latency_ms
0,1250,1250,12.1
1,1750,1750,4.6
2,1250,1250,8.7
3,1400,1400,23.8
4,1750,1750,8.0
5,1600,1600,10.0
6,1900,1900,10.3
7,1750,1750,9.0
8,1100,1100,16.0
9,1750,1750,6.6
10,1100,1100,11.2
11,1600,1600,7.0
12,1400,1400,5.8
13,1750,1750,17.6
14,1250,1250,5.9
15,1900,1900,9.6
16,1600,1600,12.9
17,1750,1750,7.0
18,1600,1600,27.8
19,1900,1900,8.8
20,1250,1250,10.3
21,1900,1900,5.3
22,1250,1250,4.9
23,1750,1750,18.0
24,1600,1600,12.0
25,1900,1900,10.9
26,1100,1100,5.3
27,1900,1900,9.0
28,1100,1100,15.0
29,1250,1250,7.0
30,1750,1750,5.6
31,1100,1100,6.7
32,1400,1400,6.7
33,1100,1100,7.3
34,1400,1400,3.0
35,1600,1600,7.1
36,1750,1750,9.6
37,1900,1900,14.0
38,1600,1600,10.8
39,1900,1900,9.0
