t_s,cur_spd,cur_dir,err_m
0.0,0.21,54.0,0.01
0.66,0.21,54.0,0.02
0.77,0.21,54.0,0.026
0.96,0.21,54.0,0.04
1.16,0.21,54.0,0.054
1.27,0.21,54.0,0.061
1.46,0.21,54.0,0.074
1.66,0.21,54.0,0.086
1.77,0.21,54.0,0.092
1.97,0.21,54.0,0.1
2.16,0.21,54.0,0.106
2.26,0.21,54.0,0.107
2.46,0.21,54.0,0.109
2.57,0.21,54.0,0.109
2.76,0.21,54.0,0.107
2.97,0.21,54.0,0.103
3.16,0.21,54.0,0.098
3.37,0.21,54.0,0.091
3.56,0.21,54.0,0.084
3.77,0.21,54.0,0.077
3.96,0.21,54.0,0.074
4.07,0.13,193.0,0.038
4.77,0.13,193.0,0.028
4.96,0.13,193.0,0.042
5.16,0.13,193.0,0.067
5.26,0.13,193.0,0.08
5.47,0.13,193.0,0.108
5.66,0.13,193.0,0.135
5.77,0.13,193.0,0.148
5.96,0.13,193.0,0.17
6.16,0.13,193.0,0.18
6.27,0.13,193.0,0.195
6.46,0.13,193.0,0.203
6.66,0.13,193.0,0.204
6.77,0.13,193.0,0.202
6.96,0.13,193.0,0.198
7.07,0.13,193.0,0.185
7.26,0.13,193.0,0.176
7.36,0.13,193.0,0.156
7.47,0.13,193.0,0.145
7.66,0.12,183.0,0.071
8.36,0.12,183.0,0.059
8.46,0.12,183.0,0.036
8.56,0.12,183.0,0.025
8.67,0.12,183.0,0.015
8.86,0.12,183.0,0.005
9.06,0.12,183.0,0.02
9.27,0.12,183.0,0.035
9.47,0.12,183.0,0.047
9.67,0.12,183.0,0.058
9.86,0.12,183.0,0.066
9.97,0.12,183.0,0.069
10.16,0.12,183.0,0.075
10.27,0.12,183.0,0.076
10.46,0.12,183.0,0.078
10.66,0.12,183.0,0.078
10.77,0.25,25.0,0.069
11.39,0.25,25.0,0.065
11.64,0.25,25.0,0.066
11.89,0.25,25.0,0.076
12.14,0.25,25.0,0.097
12.39,0.25,25.0,0.122
12.64,0.25,25.0,0.146
12.89,0.25,25.0,0.167
13.14,0.25,25.0,0.18
13.39,0.25,25.0,0.185
13.64,0.25,25.0,0.182
13.89,0.25,25.0,0.176
14.15,0.25,298.0,0.151
14.89,0.25,298.0,0.145
15.14,0.25,298.0,0.146
15.39,0.25,298.0,0.152
15.64,0.25,298.0,0.157
15.89,0.25,298.0,0.162
16.14,0.25,298.0,0.17
16.4,0.25,298.0,0.18
16.64,0.25,298.0,0.192
16.9,0.25,298.0,0.202
17.14,0.25,298.0,0.207
17.39,0.18,226.0,0.166
18.14,0.18,226.0,0.138
18.39,0.18,226.0,0.112
18.64,0.18,226.0,0.093
18.89,0.18,226.0,0.08
19.14,0.18,226.0,0.072
19.39,0.18,226.0,0.068
19.65,0.18,226.0,0.067
19.9,0.18,226.0,0.066
20.15,0.18,226.0,0.067
20.4,0.18,226.0,0.067
20.64,0.18,226.0,0.067
20.9,0.18,226.0,0.065
21.14,0.18,226.0,0.061
21.4,0.18,226.0,0.056
21.65,0.18,226.0,0.052
21.9,0.3,143.0,0.036
22.65,0.3,143.0,0.045
22.9,0.3,143.0,0.063
23.14,0.3,143.0,0.088
23.39,0.3,143.0,0.118
23.65,0.3,143.0,0.149
23.9,0.3,143.0,0.175
24.15,0.3,143.0,0.19
24.4,0.3,143.0,0.191
24.65,0.3,143.0,0.179
24.89,0.3,143.0,0.159
25.15,0.3,143.0,0.135
25.4,0.3,143.0,0.113
25.65,0.3,143.0,0.094
25.9,0.3,143.0,0.077
26.14,0.3,143.0,0.063
26.4,0.12,309.0,0.01
27.15,0.12,309.0,0.046
27.4,0.12,309.0,0.105
27.64,0.12,309.0,0.164
27.89,0.12,309.0,0.221
28.15,0.12,309.0,0.27
28.39,0.12,309.0,0.303
28.65,0.12,309.0,0.308
28.9,0.12,309.0,0.281
29.14,0.12,309.0,0.231
29.4,0.12,309.0,0.176
29.65,0.12,309.0,0.127
29.9,0.15,42.0,0.052
30.65,0.15,42.0,0.057
30.89,0.15,42.0,0.075
31.15,0.15,42.0,0.098
31.4,0.15,42.0,0.12
31.65,0.15,42.0,0.14
31.9,0.15,42.0,0.157
32.15,0.15,42.0,0.168
32.4,0.15,42.0,0.172
32.65,0.15,42.0,0.168
32.9,0.15,42.0,0.157
33.15,0.15,42.0,0.141
33.4,0.39,65.0,0.111
34.15,0.39,65.0,0.128
34.4,0.39,65.0,0.151
34.65,0.39,65.0,0.167
34.9,0.39,65.0,0.172
35.15,0.39,65.0,0.167
35.4,0.39,65.0,0.157
35.65,0.39,65.0,0.147
35.9,0.39,65.0,0.137
36.15,0.39,65.0,0.126
36.4,0.39,65.0,0.114
36.65,0.39,65.0,0.101
36.9,0.39,65.0,0.088
37.15,0.39,65.0,0.074
37.4,0.32,134.0,0.025
38.15,0.32,134.0,0.043
38.4,0.32,134.0,0.087
38.65,0.32,134.0,0.121
38.9,0.32,134.0,0.146
39.15,0.32,134.0,0.163
39.4,0.32,134.0,0.174
39.65,0.32,134.0,0.18
39.9,0.32,134.0,0.183
40.15,0.32,134.0,0.185
40.4,0.32,134.0,0.184
40.66,0.32,134.0,0.181
40.9,0.32,134.0,0.176
41.15,0.32,134.0,0.168
41.41,0.12,21.0,0.126
42.15,0.12,21.0,0.11
42.41,0.12,21.0,0.11
42.65,0.12,21.0,0.132
42.9,0.12,21.0,0.167
43.15,0.12,21.0,0.207
43.4,0.12,21.0,0.247
43.66,0.12,21.0,0.279
43.9,0.12,21.0,0.297
44.16,0.12,21.0,0.294
44.4,0.12,21.0,0.27
44.65,0.12,21.0,0.234
44.9,0.34,154.0,0.142
