t_s,depth_m,roll_deg,pitch_deg,yaw_deg,north_m,east_m,down_m,vx,vy,vz,batt_v,batt_a,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8
0.0,,,,,,,,,,,,,,,,,,,,
0.1,,,,,-1.046,41.576,-0.01,-0.022,0.025,-0.017,,,,,,,,,,
0.2,0.266,0.12,0.1,-2.39,-1.046,41.576,-0.004,-0.021,0.025,-0.012,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.3,0.264,0.12,0.1,-2.39,-1.046,41.577,-0.006,-0.021,0.025,-0.013,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.4,0.262,0.12,0.1,-2.4,-1.046,41.577,-0.008,-0.021,0.025,-0.014,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.5,0.266,0.12,0.1,-2.4,-1.047,41.578,-0.004,-0.022,0.026,-0.01,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.6,0.276,0.12,0.1,-2.4,-1.047,41.578,0.006,-0.022,0.025,-0.002,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.7,0.289,0.12,0.1,-2.4,-1.048,41.579,0.019,-0.022,0.026,0.008,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.8,0.298,0.12,0.11,-2.4,-1.049,41.579,0.028,-0.022,0.026,0.012,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
0.9,0.298,0.13,0.11,-2.4,-1.05,41.58,0.028,-0.023,0.026,0.01,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.0,0.297,0.13,0.12,-2.4,-1.05,41.579,0.027,-0.023,0.026,0.008,12.6,0.0,1500,1500,1500,1500,1500,1500,1500,1500
1.1,0.289,0.14,0.12,-2.4,-1.051,41.58,0.019,-0.023,0.026,0.0,12.6,0.0,1500,1499,1499,1500,1525,1528,1523,1526
1.2,0.287,0.13,0.12,-2.4,-1.05,41.58,0.017,-0.011,0.028,0.012,12.54,1.65,1500,1499,1499,1500,1605,1607,1604,1605
1.3,0.297,0.11,0.1,-2.4,-1.05,41.581,0.027,-0.0,0.031,0.052,12.39,6.41,1500,1499,1499,1500,1608,1610,1607,1608
1.4,0.313,0.07,0.07,-2.4,-1.047,41.582,0.043,0.006,0.038,0.087,12.38,6.6,1500,1499,1499,1500,1594,1595,1593,1594
1.5,0.326,0.03,0.03,-2.41,-1.045,41.584,0.056,0.009,0.049,0.106,12.41,5.73,1500,1499,1499,1500,1576,1577,1576,1576
1.6,0.332,-0.01,-0.0,-2.41,-1.042,41.586,0.062,0.011,0.058,0.11,12.44,4.65,1500,1499,1499,1500,1562,1563,1562,1562
1.7,0.338,-0.04,-0.03,-2.41,-1.04,41.59,0.068,0.013,0.066,0.11,12.47,3.81,1500,1499,1499,1500,1555,1555,1555,1555
1.8,0.34,-0.05,-0.04,-2.41,-1.037,41.594,0.07,0.016,0.073,0.105,12.49,3.36,1485,1522,1476,1515,1551,1551,1551,1551
1.9,0.346,-0.05,-0.04,-2.41,-1.034,41.6,0.076,0.016,0.079,0.104,12.42,5.34,1481,1534,1464,1519,1550,1550,1550,1550
2.0,0.352,-0.04,-0.04,-2.4,-1.031,41.605,0.082,0.016,0.083,0.101,12.39,6.24,1480,1535,1465,1518,1546,1547,1546,1547
2.1,0.355,-0.02,-0.02,-2.4,-1.028,41.612,0.085,0.016,0.087,0.095,12.4,6.03,1476,1541,1459,1522,1543,1544,1543,1544
2.2,0.365,0.01,0.0,-2.39,-1.025,41.618,0.095,0.015,0.089,0.095,12.38,6.45,1476,1541,1459,1522,1542,1543,1541,1542
2.3,0.381,0.04,0.03,-2.39,-1.022,41.625,0.111,0.014,0.09,0.099,12.39,6.39,1470,1553,1447,1528,1534,1536,1532,1534
2.4,0.403,0.07,0.05,-2.39,-1.019,41.631,0.133,0.013,0.088,0.104,12.37,7.02,1466,1563,1437,1532,1520,1522,1519,1521
2.5,0.419,0.09,0.08,-2.39,-1.017,41.638,0.149,0.01,0.087,0.102,12.37,7.02,1466,1563,1437,1532,1501,1503,1499,1501
2.6,0.429,0.12,0.11,-2.39,-1.014,41.644,0.159,0.008,0.084,0.096,12.4,5.88,1464,1569,1429,1536,1486,1489,1483,1486
2.7,0.443,0.15,0.13,-2.4,-1.012,41.65,0.173,0.005,0.081,0.095,12.36,7.1,1464,1569,1429,1536,1475,1478,1472,1475
2.8,0.452,0.17,0.15,-2.4,-1.01,41.655,0.182,0.001,0.077,0.087,12.34,7.76,1458,1579,1421,1540,1462,1465,1459,1462
2.9,0.449,0.16,0.15,-2.4,-1.009,41.66,0.179,-0.004,0.071,0.069,12.29,9.39,1453,1584,1414,1547,1456,1459,1453,1456
3.0,0.448,0.14,0.13,-2.4,-1.007,41.664,0.178,-0.007,0.065,0.055,12.25,10.47,1452,1585,1415,1546,1459,1462,1457,1459
3.1,0.445,0.11,0.1,-2.4,-1.006,41.668,0.175,-0.012,0.059,0.042,12.26,10.29,1450,1589,1409,1550,1463,1465,1461,1463
3.2,0.441,0.07,0.06,-2.4,-1.005,41.671,0.171,-0.016,0.053,0.031,12.25,10.56,1449,1590,1410,1549,1469,1470,1467,1469
3.3,0.444,0.03,0.03,-2.4,-1.005,41.674,0.174,-0.021,0.046,0.027,12.26,10.23,1446,1595,1403,1554,1474,1475,1473,1474
3.4,0.45,-0.02,-0.01,-2.4,-1.004,41.675,0.18,-0.025,0.039,0.025,12.25,10.53,1443,1596,1404,1555,1473,1473,1473,1473
3.5,0.455,-0.06,-0.05,-2.4,-1.004,41.677,0.185,-0.029,0.034,0.021,12.24,10.74,1443,1596,1404,1555,1469,1469,1469,1469
3.6,0.463,-0.09,-0.08,-2.4,-1.004,41.677,0.193,-0.032,0.028,0.02,12.23,10.98,1442,1599,1399,1558,1465,1465,1465,1465
3.7,0.476,-0.1,-0.09,-2.4,-1.006,41.678,0.206,-0.037,0.022,0.02,12.21,11.58,1439,1602,1398,1559,1458,1458,1457,1458
3.8,0.49,-0.09,-0.08,-2.4,-1.007,41.677,0.22,-0.04,0.016,0.02,12.19,12.24,1439,1602,1398,1559,1446,1447,1446,1447
3.9,0.498,-0.07,-0.06,-2.4,-1.009,41.677,0.228,-0.043,0.011,0.011,12.17,12.93,1437,1602,1396,1563,1434,1435,1434,1434
4.0,0.5,-0.04,-0.04,-2.4,-1.01,41.675,0.23,-0.046,0.007,-0.005,12.14,13.89,1437,1602,1396,1563,1428,1430,1427,1428
